Time [ms], Sensor0 [mV], Disconnected1 [mV], Disconnected2 [mV], Disconnected3 [mV]
13066453, -0.18, 551.06, 550.31, 551.63
13067527, -0.18, 550.13, 549.75, 549.38
13068610, -0.18, 552.00, 551.44, 548.25
13069702, -0.18, 548.63, 551.25, 552.75
13070775, -0.18, 547.88, 549.56, 550.50
13071858, -0.18, 551.25, 547.88, 550.50
13072933, -0.18, 550.50, 551.63, 551.44
13074018, -0.18, 549.75, 549.75, 550.31
13075093, -0.18, 549.38, 550.50, 550.50
13076186, 141.19, 551.44, 551.25, 550.88
13077269, 1255.13, 552.19, 550.31, 550.88
13078362, 1453.50, 552.19, 550.13, 550.88
13079455, 1752.00, 553.69, 550.50, 549.75
13080537, 2244.94, 553.31, 550.31, 550.13
13081621, 2589.56, 555.19, 551.25, 549.94
13082706, 2888.63, 555.38, 550.13, 550.50
13083780, 2458.13, 553.50, 550.50, 550.31
13084864, 2065.88, 553.69, 549.19, 549.75
13085938, 2227.13, 554.25, 550.31, 550.88
13087012, 3135.00, 554.44, 549.94, 549.75
13088087, 3547.88, 555.56, 552.00, 549.75
13089198, 3558.94, 555.75, 550.13, 550.69
13090293, 3353.81, 555.75, 550.69, 549.75
13091395, 2776.31, 554.44, 551.06, 551.06
13092470, 2071.31, 554.44, 550.88, 550.88
13093552, 1120.88, 552.56, 550.31, 550.69
13094645, 652.31, 551.44, 548.63, 551.63
13095717, 2467.69, 555.19, 550.69, 550.88
13096793, 3844.50, 555.00, 549.00, 550.13
13097895, 4275.19, 555.56, 549.56, 549.75
13098971, 4475.44, 557.81, 550.13, 549.56
13100055, 4820.25, 558.00, 551.06, 550.88
13101141, 618.38, 549.94, 549.38, 550.31
13102222, 552.38, 549.94, 549.19, 548.63
13103315, 552.94, 549.75, 550.50, 550.69
13104387, 623.06, 552.56, 549.94, 550.13
13105472, 4882.69, 558.19, 549.75, 549.94
13106553, 4627.50, 557.25, 550.50, 549.94
13107656, 4800.38, 557.44, 550.13, 548.81
13108732, 4896.56, 558.00, 551.06, 550.50
13109814, 4943.81, 558.19, 550.13, 550.31
13110888, 661.69, 552.38, 551.06, 550.69
13111971, 632.63, 553.13, 551.81, 550.50
13113056, 4941.94, 557.81, 549.94, 550.50
13114141, 4956.56, 557.63, 549.94, 549.56
13115241, 4955.25, 558.00, 550.50, 548.44
13116316, 4956.94, 556.88, 550.69, 549.56
13117419, 645.56, 552.00, 549.75, 549.38
13118492, 640.13, 552.75, 550.69, 551.25
13119576, 637.88, 551.81, 550.13, 549.19
13120661, 640.31, 551.81, 550.31, 550.88
13121735, 664.88, 552.00, 550.88, 550.13
13122828, 1.31, 550.31, 548.63, 549.00
13123912, 4963.88, 556.69, 551.06, 550.69
13124995, 661.50, 551.81, 549.00, 550.31
13126078, 663.94, 551.44, 549.94, 549.94
13127172, 658.50, 552.19, 549.75, 550.31
13128265, 666.56, 551.81, 550.13, 551.25
13129348, 654.75, 551.63, 550.13, 549.56
13130449, -0.18, 548.81, 549.00, 548.63
